"","tot","Freq"
"307","prot->ble->orge->colz->orge",1
"308","prot->ble->orge->colz->prot",1
"309","prot->ble->orge->fou->fou",1
"310","prot->ble->orge->leg_fl->ble",1
"311","prot->colz->ble->ble->mais",1
"312","prot->div->div->colz->ble",1
"313","prot->div->orge->a_indus->cer_2nd",1
"314","prot->fou->ble->orge->fou",1
"315","prot->fou->fou->ble->ble",1
"316","prot->leg_fl->a_indus->ble->orge",1
"317","prot->olea->fou->ble->orge",1
"318","prot->orge->fou->fou->ble",1
"319","prot->orge->leg_fl->ble->a_indus",1
"320","prot->orge->orge->a_indus->ble",1
"321","prot->orge->prot->ble->a_indus",1
"322","prot->orge->prot->ble->prot",1
"323","pt->pt->-1->-1->-1",1
"324","TRN->ble->orge->a_indus->ble",1
"325","TRN->ble->orge->gel_sp->gel_sp",1
"326","TRN->ble->orge->prot->leg_fl",1
"327","TRN->ble->orge->prot->mais",1
"328","a_indus->ble->ble->a_indus->ble",2
"329","a_indus->ble->ble->prot->ble",2
"330","a_indus->ble->colz->ble->leg_fl",2
"331","a_indus->ble->gel_sp->ble->orge",2
"332","a_indus->ble->orge->leg_gr->orge",2
"333","a_indus->ble->orge->prot->ble",2
"334","ble->ble->ble->ble->gel_sp",2
"335","ble->ble->orge->a_indus->ble",2
"336","ble->ble->orge->ble->plte_fb",2
"337","ble->ble->prot->ble->a_indus",2
"338","ble->ble->prot->ble->orge",2
"339","ble->cer_2nd->ble->orge->orge",2
"340","ble->colz->ble->ble->orge",2
"341","ble->colz->ble->ble->prot",2
"342","ble->colz->ble->orge->colz",2
"343","ble->colz->ble->orge->gel_sp",2
"344","ble->colz->ble->orge->leg_fl",2
"345","ble->gel_sp->gel_sp->gel_sp->gel_sp",2
"346","ble->orge->a_indus->ble->prot",2
"347","ble->orge->ble->fou->pt",2
"348","ble->orge->ble->orge->orge",2
"349","ble->orge->colz->ble->plte_fb",2
"350","ble->orge->colz->gel_sp->gel_sp",2
"351","ble->orge->fou->ble->orge",2
"352","ble->orge->fou->ble->prot",2
"353","ble->orge->leg_fl->ble->orge",2
"354","ble->orge->orge->a_indus->orge",2
"355","ble->orge->orge->ble->orge",2
"356","ble->orge->plte_fb->ble->ble",2
"357","ble->orge->prot->ble->a_indus",2
"358","ble->plte_fb->ble->ble->orge",2
"359","cer_2nd->cer_2nd->cer_2nd->cer_2nd->cer_2nd",2
"360","cer_2nd->orge->plte_fb->orge->orge",2
"361","colz->ble->a_indus->ble->leg_fl",2
"362","colz->ble->ble->ble->fou",2
"363","colz->ble->ble->orge->olea",2
"364","colz->ble->colz->ble->leg_fl",2
"365","colz->ble->orge->ble->plte_fb",2
"366","colz->ble->orge->colz->gel_sp",2
"367","colz->ble->pt->pt->pt",2
"368","colz->div->div->div->div",2
"369","div->prot->ble->orge->ble",2
"370","fou->a_indus->a_indus->ble->orge",2
"371","fou->fou->div->a_indus->ble",2
"372","gel_sp->div->gel_sp->gel_sp->gel_sp",2
"373","gel_sp->gel_sp->cer_2nd->cer_2nd->cer_2nd",2
"374","gel_sp->gel_sp->gel_sp->div->gel_sp",2
"375","gel_sp->gel_sp->gel_sp->gel_sp->div",2
"376","gel_sp->gel_sp->gel_sp->orge->orge",2
"377","gel_sp->orge->colz->ble->orge",2
"378","gel_sp->pt->div->gel_sp->gel_sp",2
"379","leg_fl->ble->a_indus->ble->orge",2
"380","olea->ble->gel_sp->ble->orge",2
"381","orge->a_indus->ble->leg_fl->ble",2
"382","orge->a_indus->ble->orge->mais",2
"383","orge->a_indus->ble->orge->pt",2
"384","orge->a_indus->cer_2nd->orge->a_indus",2
"385","orge->ble->ble->orge->ble",2
"386","orge->ble->colz->ble->ble",2
"387","orge->ble->orge->colz->ble",2
"388","orge->ble->orge->colz->pt",2
"389","orge->colz->ble->orge->ble",2
"390","orge->colz->ble->orge->prot",2
"391","orge->colz->cer_2nd->a_indus->a_indus",2
"392","orge->div->div->div->div",2
"393","orge->fou->ble->orge->orge",2
"394","orge->gel_sp->gel_sp->gel_sp->gel_sp",2
"395","orge->leg_fl->ble->a_indus->ble",2
"396","orge->olea->ble->a_indus->ble",2
"397","orge->olea->ble->leg_fl->ble",2
"398","orge->orge->a_indus->ble->leg_fl",2
"399","orge->orge->orge->orge->ble",2
"400","orge->plte_fb->ble->orge->prot",2
"401","orge->prot->ble->ble->orge",2
"402","orge->prot->ble->orge->prot",2
"403","plte_fb->ble->ble->orge->-1",2
"404","plte_fb->ble->orge->gel_sp->gel_sp",2
"405","prot->ble->gel_sp->ble->orge",2
"406","prot->ble->orge->a_indus->ble",2
"407","prot->ble->plte_fb->ble->orge",2
"408","prot->ble->prot->ble->orge",2
"409","prot->div->div->div->div",2
"410","a_indus->ble->orge->a_indus->cer_2nd",3
"411","a_indus->cer_2nd->orge->a_indus->ble",3
"412","ble->a_indus->ble->orge->leg_fl",3
"413","ble->a_indus->ble->orge->orge",3
"414","ble->a_indus->ble->orge->prot",3
"415","ble->ble->mais->mais->orge",3
"416","ble->ble->orge->orge->plte_fb",3
"417","ble->ble->plte_fb->orge->ble",3
"418","ble->colz->ble->orge->orge",3
"419","ble->leg_fl->ble->orge->orge",3
"420","ble->orge->ble->colz->ble",3
"421","ble->orge->ble->plte_fb->ble",3
"422","ble->orge->gel_sp->ble->ble",3
"423","ble->orge->orge->ble->ble",3
"424","ble->orge->plte_fb->gel_sp->orge",3
"425","ble->plte_fb->orge->orge->gel_sp",3
"426","ble->prot->ble->orge->ble",3
"427","ble->prot->ble->orge->prot",3
"428","cer_2nd->ble->ble->ble->orge",3
"429","cer_2nd->orge->a_indus->ble->orge",3
"430","colz->ble->a_indus->ble->orge",3
"431","colz->ble->mais->mais->orge",3
"432","colz->ble->orge->gel_sp->gel_sp",3
"433","colz->ble->plte_fb->orge->ble",3
"434","gel_sp->gel_sp->div->div->div",3
"435","gel_sp->gel_sp->gel_sp->div->div",3
"436","orge->a_indus->ble->prot->ble",3
"437","orge->gel_sp->ble->a_indus->ble",3
"438","orge->olea->ble->prot->ble",3
"439","orge->orge->a_indus->ble->orge",3
"440","orge->orge->ble->colz->ble",3
"441","orge->plte_fb->ble->orge->a_indus",3
"442","orge->plte_fb->ble->orge->orge",3
"443","orge->plte_fb->cer_2nd->orge->plte_fb",3
"444","orge->prot->ble->a_indus->ble",3
"445","plte_fb->ble->orge->plte_fb->ble",3
"446","plte_fb->ble->orge->plte_fb->cer_2nd",3
"447","prot->ble->a_indus->ble->orge",3
"448","prot->ble->orge->a_indus->orge",3
"449","pt->div->div->div->div",3
"450","a_indus->ble->orge->orge->orge",4
"451","ble->a_indus->ble->ble->a_indus",4
"452","ble->a_indus->ble->leg_fl->cer_2nd",4
"453","ble->colz->ble->orge->prot",4
"454","ble->orge->a_indus->ble->ble",4
"455","ble->orge->a_indus->ble->leg_fl",4
"456","ble->orge->orge->a_indus->ble",4
"457","colz->ble->orge->a_indus->ble",4
"458","colz->ble->orge->orge->ble",4
"459","colz->ble->orge->plte_fb->ble",4
"460","orge->a_indus->ble->orge->leg_fl",4
"461","orge->a_indus->ble->orge->orge",4
"462","prot->ble->orge->prot->ble",4
"463","a_indus->ble->colz->ble->orge",5
"464","ble->ble->a_indus->ble->ble",5
"465","ble->ble->a_indus->ble->orge",5
"466","ble->colz->ble->colz->ble",5
"467","ble->prot->ble->orge->leg_fl",5
"468","colz->ble->ble->orge->orge",5
"469","colz->ble->orge->orge->orge",5
"470","colz->ble->orge->prot->ble",5
"471","orge->colz->ble->ble->ble",5
"472","orge->colz->ble->orge->plte_fb",5
"473","orge->orge->orge->a_indus->ble",5
"474","orge->orge->orge->orge->orge",5
"475","ble->orge->plte_fb->orge->orge",6
"476","gel_sp->div->div->div->div",6
"477","orge->orge->orge->colz->ble",6
"478","pt->pt->fou->pt->pt",6
"479","ble->a_indus->ble->orge->a_indus",7
"480","ble->ble->colz->ble->orge",7
"481","ble->ble->orge->colz->ble",7
"482","ble->ble->orge->orge->orge",7
"483","ble->orge->orge->colz->ble",7
"484","orge->colz->ble->ble->orge",7
"485","ble->orge->colz->ble->ble",8
"486","ble->orge->prot->ble->orge",8
"487","colz->ble->colz->ble->orge",8
"488","orge->orge->colz->ble->ble",8
"489","orge->prot->ble->orge->orge",9
"490","prot->ble->orge->colz->ble",9
"491","0",10
"492","ble->orge->orge->orge->orge",10
"493","orge->orge->colz->ble->orge",10
"494","colz->ble->orge->colz->ble",17
"495","orge->a_indus->ble->orge->a_indus",19
"496","orge->colz->ble->orge->orge",21
"497","ble->orge->colz->ble->orge",23
"498","div->div->div->div->div",28
"499","a_indus->ble->orge->a_indus->ble",29
"500","ble->orge->a_indus->ble->orge",35
"501","gel_sp->gel_sp->gel_sp->gel_sp->gel_sp",159
